stop_id,stop_name,stop_lat,stop_lon,location_type
1442,S Acadian @ 1588 S Acadian - S,30.434305,-91.152718,0
1444,S Acadian @ Catholic Life Center - S,30.430637,-91.15284,0
1445,S Acadian @ Bawell - S,30.427113,-91.151276,0
1446,S Acadian @ T J Ribs - S,30.425465,-91.150604,0
1447,S Acadian @ Coyote Blues - S,30.423325,-91.151581,0
1448,Perkins Rd @ Hood Ave - E,30.42001,-91.150772,0
1449,Perkins Rd @  Valley St - E,30.419205,-91.148956,0
1450,Perkins Rd @ Stuart - E,30.418041,-91.14695,0
1451,Perkins Rd @ College/Lee Dr - E,30.416588,-91.143631,0
1452,Perkins Rd @ Edinburgh - E,30.415604,-91.141411,0
1453,Perkins Rd @ Glasgow - E,30.415051,-91.139992,0
1454,Perkins Rd @ Congress - E,30.413589,-91.136803,0
1455,Perkins Rd @ Moss Side - E,30.412565,-91.134918,0
1456,Perkins Rd @ Pollard - E,30.411144,-91.132507,0
1457,Perkins Rd @ Quail Oak Dr - E,30.407482,-91.126251,0
1458,Perkins Rd @ Quail Dr - E,30.405537,-91.123764,0
1459,Perkins Rd @ Pennington Center - E,30.403454,-91.12133,0
1460,Perkins Rd @ Kenilworth - E,30.400471,-91.117668,0
1461,Perkins Rd @ One Perkins Place - E,30.398678,-91.115341,0
1462,Perkins Rd @ Baton Rouge Clinic - E,30.39699,-91.112816,0
1463,Perkins Rd @ Essen Ln - E,30.395267,-91.110291,0
1464,Perkins Rd @ Express Oil - E,30.393787,-91.108208,0
1465,Perkins Rd @ Bles - E,30.391743,-91.106926,0
1466,Perkins Rd @ Southside Produce - E,30.389763,-91.105682,0
1467,Perkins Rd @ Y M C A Southside - E,30.388226,-91.104774,0
1468,Perkins Rd @ L S U Health - E,30.384544,-91.10247,0
1469,Perkins Rd @ Hyacinth - E,30.380636,-91.100113,0
1471,Bluebonnet @ Renaissance Hotel - S,30.386179,-91.094604,0
